source,target,weight,source_color,target_color
itu/G.992.3/2005_01_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#B54343,#B54343
itu/G.992.5/2005_01_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,1,#B54343,#B54343
itu/G.992.5/2005_01_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#B54343,#B54343
itu/G.994.1/2017_04_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,3372,#43B5B5,#B54343
itu/G.994.1/2017_04_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,3386,#43B5B5,#B54343
itu/G.994.1/2017_04_1_en..pdf,itu/G.994.1/2017_04_1_en..pdf,181,#43B5B5,#43B5B5
itu/G.994.1/2012_06_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,3371,#43B5B5,#B54343
itu/G.994.1/2012_06_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,3386,#43B5B5,#B54343
itu/G.994.1/2012_06_1_en..pdf,itu/G.994.1/2012_06_1_en..pdf,180,#43B5B5,#43B5B5
itu/G.994.1/2018_11_0_en..pdf,itu/G.992.3/2005_01_1_en..pdf,3372,#43B5B5,#B54343
itu/G.994.1/2018_11_0_en..pdf,itu/G.992.5/2005_01_1_en..pdf,3386,#43B5B5,#B54343
itu/G.994.1/2018_11_0_en..pdf,itu/G.994.1/2018_11_0_en..pdf,182,#43B5B5,#43B5B5
